"turn","color","output","condition","time","score"
"BR04","blu","mucche","post","6",1
"BR04","blu","mucche","post","7",1
"BR04","blu","mucche","post","8",3
"BR04","blu","mucche","post","9",3
"BR04","blu","mucche","post","10",3
"BR04","blu","mucche","post","11",3
"BR04","blu","mucche","post","12",2
"BR04","blu","mucche","post","13",1
"BR04","blu","mucche","post","14",1
"BR04","blu","mucche","post","15",7
"BR04","blu","mucche","post","16",7
"BR04","blu","mucche","post","17",6
"BR04","blu","mucche","post","18",4
"BR04","blu","mucche","post","19",4
"BR04","blu","mucche","post","20",3
"BR04","blu","mucche","post","21",1
"BR04","blu","mucche","post","22",40
"BR04","blu","mucche","post","23",31
"BR04","blu","mucche","post","24",7
"BR04","blu","mucche","post","25",1
"BR04","blu","mucche","post","26",0
"BR04","blu","mucche","post","27",0
"BR04","blu","mucche","post","28",0
"BR04","blu","muccheperse","post","0",0
"BR04","blu","muccheperse","post","1",0
"BR04","blu","muccheperse","post","2",0
"BR04","blu","muccheperse","post","3",0
"BR04","blu","muccheperse","post","4",0
"BR04","blu","muccheperse","post","5",0
"BR04","blu","muccheperse","post","6",0
"BR04","blu","muccheperse","post","7",0
"BR04","blu","muccheperse","post","8",0
"BR04","blu","muccheperse","post","9",0
"BR04","blu","muccheperse","post","10",0
"BR04","blu","muccheperse","post","11",0
"BR04","blu","muccheperse","post","12",1
"BR04","blu","muccheperse","post","13",2
"BR04","blu","muccheperse","post","14",2
"BR04","blu","muccheperse","post","15",2
"BR04","blu","muccheperse","post","16",2
"BR04","blu","muccheperse","post","17",3
"BR04","blu","muccheperse","post","18",5
"BR04","blu","muccheperse","post","19",5
"BR04","blu","muccheperse","post","20",6
"BR04","blu","muccheperse","post","21",8
"BR04","blu","muccheperse","post","22",8
"BR04","blu","muccheperse","post","23",17
"BR04","blu","muccheperse","post","24",41
"BR04","blu","muccheperse","post","25",47
"BR04","blu","muccheperse","post","26",48
"BR04","blu","muccheperse","post","27",48
"BR04","blu","muccheperse","post","28",48
"BR04","blu","muccheslider","post","0",1
"BR04","blu","muccheslider","post","1",1
"BR04","blu","muccheslider","post","2",1
"BR04","blu","muccheslider","post","3",1
"BR04","blu","muccheslider","post","4",1
"BR04","blu","muccheslider","post","5",1
"BR04","blu","muccheslider","post","6",1
"BR04","blu","muccheslider","post","7",1
"BR04","blu","muccheslider","post","8",3
"BR04","blu","muccheslider","post","9",3
"BR04","blu","muccheslider","post","10",3
"BR04","blu","muccheslider","post","11",3
"BR04","blu","muccheslider","post","12",3
"BR04","blu","muccheslider","post","13",3
"BR04","blu","muccheslider","post","14",3
"BR04","blu","muccheslider","post","15",7
"BR04","blu","muccheslider","post","16",7
"BR04","blu","muccheslider","post","17",7
"BR04","blu","muccheslider","post","18",7
"BR04","blu","muccheslider","post","19",7
"BR04","blu","muccheslider","post","20",7
"BR04","blu","muccheslider","post","21",7
"BR04","blu","muccheslider","post","22",40
"BR04","blu","muccheslider","post","23",40
"BR04","blu","muccheslider","post","24",40
"BR04","blu","muccheslider","post","25",40
"BR04","blu","muccheslider","post","26",40
"BR04","blu","muccheslider","post","27",40
"BR04","blu","muccheslider","post","28",40
"BR04","giallo","capital","post","0",10
"BR04","giallo","capital","post","1",40
"BR04","giallo","capital","post","2",70
"BR04","giallo","capital","post","3",100
"BR04","giallo","capital","post","4",130
"BR04","giallo","capital","post","5",160
"BR04","giallo","capital","post","6",190
"BR04","giallo","capital","post","7",220
"BR04","giallo","capital","post","8",130
"BR04","giallo","capital","post","9",250
"BR04","giallo","capital","post","10",370
"BR04","giallo","capital","post","11",490
"BR04","giallo","capital","post","12",570
"BR04","giallo","capital","post","13",650
"BR04","giallo","capital","post","14",690
